id,numerozona,nomezona,numeromuni,nomemunici,numdistrit,nomedistri,area_ha_2,nome,domicilios,familias,populacao,matriculas,empregos,automoveis,viagens_produzidas,viagens_atraidas,renda_total,renda_media_familiar,renda_per_capita,renda_mediana_familiar,nenhum_auto,1_auto,2_auto,3_ou_mais_auto,total_familias,area_arbor,area_arb_1,indicador_massa_arborea,centroid_lat,centroid_long
295,295,Belmira Marin,36,São Paulo,30,Grajaú,"1236,83",Belmira Marin,35636,36044,114180,26972,19585,22070,169462,169379,103827502,2881,909,2700,17390,16573,1245,836,36044,"454,91490970255",4549149,"0,367807143829427","-23,7698418262968","-46,6786724918769"
297,297,Jaceguava,36,São Paulo,56,Parelheiros,"3512,69",Jaceguava,951,951,2907,357,798,1150,4098,4333,4401336,4628,1514,3000,170,398,384,0,951,"2858,95954480409",28589595,"0,813894634825189","-23,776738948886","-46,760825171272"
298,298,Parelheiros,36,São Paulo,56,Parelheiros,"11667,08",Parelheiros,44913,45386,145648,42621,27668,16043,220424,220190,105964135,2335,728,2086,28600,16526,0,261,45386,"9696,76888148618",96967689,"0,831122172941831","-23,8462016137315","-46,7031340213016"
299,299,Marsilac,36,São Paulo,52,Marsilac,"20795,96",Marsilac,2621,2621,8363,882,2186,1672,10429,10131,6803581,2596,814,2000,1507,668,371,74,2621,"20159,1728013208",201591728,"0,96937928334738","-23,9350926537599","-46,7079795367914"
302,302,Santo Amaro,36,São Paulo,72,Santo Amaro,"257,11",Santo Amaro,5985,5985,16387,19234,29702,6176,119538,120132,53180250,8886,3245,8047,1057,2950,1556,421,5985,"73,7964132441619",737964,"0,287022726631255","-23,6518710165771","-46,7000748372217"
307,307,Jardim Capela,36,São Paulo,42,Jardim Ângela,"2022,05",Jardim Capela,32819,32819,104416,19846,24146,20550,146468,145935,95524370,2911,915,2453,14901,16329,1009,580,32819,"801,341633371989",8013416,"0,396301591638183","-23,7311716244899","-46,7639070782813"
308,308,Riviera,36,São Paulo,42,Jardim Ângela,"798,79",Riviera,13756,13756,41879,16545,8285,1694,60820,61416,27755794,2018,663,1900,12285,1285,186,0,13756,"525,1571824904",5251572,"0,657440857409833","-23,7075724755749","-46,7736001835117"
309,309,Jardim Turquesa,36,São Paulo,42,Jardim Ângela,"282,87",Jardim Turquesa,21403,21551,65732,11781,12417,10542,78440,78526,57210531,2655,870,2453,13284,6159,2109,0,21551,"59,7000164845104",597000,"0,211051071108673","-23,6967123485457","-46,7871815743948"
316,316,Morumbi,36,São Paulo,55,Morumbi,"271,46",Morumbi,5711,5711,15560,5527,13918,7732,47001,47729,47603305,8335,3059,6843,555,2733,2114,309,5711,"115,332123068164",1153321,"0,424858627673191","-23,5889159694716","-46,7129486749178"
341,341,Jardim Caxingui,36,São Paulo,12,Butantã,"180,08",Jardim Caxingui,3866,3866,10541,3726,8790,3064,30016,29662,26052672,6739,2472,6710,905,2189,522,250,3866,"53,02863460043",530286,"0,294472648825133","-23,5792023003287","-46,7208470092245"
318,318,Fazenda Morumbi,36,São Paulo,55,Morumbi,"320,73",Fazenda Morumbi,7597,7597,22908,2224,13046,5237,47831,48146,38493236,5067,1680,4949,3382,2383,1705,126,7597,"133,238061974421",1332381,"0,415421263911768","-23,6071326331446","-46,7049808632277"
319,319,Real Parque,36,São Paulo,55,Morumbi,"223,42",Real Parque,3036,3036,9015,5351,20404,3690,39853,40061,28990363,9549,3216,6143,607,1629,496,305,3036,"98,7748713230254",987749,"0,442103980498726","-23,6047757068589","-46,7182027799511"
322,322,Vila Suzana,36,São Paulo,85,Vila Andrade,"300,5",Vila Suzana,14938,14938,39440,8490,20775,17032,83449,82279,92458026,6189,2344,5514,3023,7022,4763,131,14938,"107,758621510055",1077586,"0,358597742129968","-23,6261658983269","-46,7402890423097"
324,324,Jardim Mitsutani,36,São Paulo,17,Campo Limpo,"349,31",Jardim Mitsutani,23063,23063,71351,17783,22540,8929,97554,97998,59549142,2582,835,2086,15287,6824,952,0,23063,"58,022185285585",580222,"0,166105136656795","-23,643361343087","-46,7775243000086"
325,325,Pirajussara,36,São Paulo,17,Campo Limpo,"270,05",Pirajussara,13085,13514,40057,17381,11289,7520,87923,88567,49097341,3633,1226,3213,6693,6175,646,0,13514,"45,1356980997573",451357,"0,16713830068416","-23,6317136185328","-46,7647911540928"
326,326,Jardim Umarizal,36,São Paulo,17,Campo Limpo,"294,91",Jardim Umarizal,16960,16960,51055,9380,11396,9724,65954,64076,56473308,3330,1106,2884,8481,7541,852,86,16960,"65,5580124989167",655580,"0,22229837068569","-23,6229801467543","-46,7538111813553"
333,333,Raposo Tavares,36,São Paulo,66,Raposo Tavares,"271,34",Raposo Tavares,6690,6690,19965,3844,8580,4697,34489,34495,21228235,3173,1063,3044,2861,3068,761,0,6690,"133,726387976389",1337264,"0,492836986719204","-23,5837240167952","-46,7922145077415"
334,334,Rio Pequeno,36,São Paulo,68,Rio Pequeno,"245,75",Rio Pequeno,12117,12117,36683,8249,15381,5576,68189,68377,39698969,3276,1082,2500,7223,4235,659,0,12117,"48,8140472873119",488140,"0,198632949287129","-23,5691113268831","-46,7471213448605"
335,335,Jardim Ester Yolanda,36,São Paulo,68,Rio Pequeno,"264,93",Jardim Ester Yolanda,13398,13398,40378,7018,10114,9799,68772,68967,62682374,4678,1552,3580,5160,7074,726,438,13398,"51,2246794908892",512247,"0,193351751371642","-23,5782422047642","-46,758541191824"
